ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC04083;1;2012-06-27;13;4;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;20/02/2025;1;1;1;NO APLICA;2
SEC04084;1;2014-09-09;10;3;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;23/08/2022;1;1;1;NO APLICA;2
SEC04085;1;2013-12-24;11;3;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;22/09/2024;1;1;1;NO APLICA;2
SEC04086;1;2011-07-30;14;4;PERÚ;2;EDUCADORES DE CALLE;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;23/02/2022;1;1;1;NO APLICA;1
SEC04087;1;2011-07-30;14;4;PERÚ;2;EDUCADORES DE CALLE;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;23/02/2022;1;1;1;NO APLICA;1
SEC04088;1;2012-09-15;12;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SURQUILLO;24/11/2023;3;1;1;NO APLICA;2
SEC04089;1;2017-05-13;8;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SURQUILLO;24/11/2023;3;1;1;NO APLICA;2
SEC04090;2;2021-07-28;4;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SURQUILLO;24/11/2023;2;1;1;NO APLICA;2
SEC04091;1;2009-12-28;15;4;PERÚ;2;EDUCADORES DE CALLE;CUSCO;CUSCO;CUSCO;9/05/2023;1;1;2;2025-07-21;1
SEC04092;1;2017-01-12;8;3;PERÚ;2;EDUCADORES DE CALLE;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;3/05/2024;1;1;1;NO APLICA;2
SEC04093;2;2011-05-21;14;4;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;16/03/2023;1;1;2;2025-04-20;2
SEC04094;2;2021-02-15;4;2;PERÚ;2;EDUCADORES DE CALLE;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;3/05/2024;1;1;1;NO APLICA;2
SEC04095;2;2015-08-14;9;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;9/05/2025;1;1;1;NO APLICA;2
SEC04096;1;2011-07-17;14;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;11/04/2024;1;1;1;NO APLICA;2
SEC04097;2;2013-11-12;11;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;11/04/2024;1;1;1;NO APLICA;2
SEC04098;1;2012-03-14;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;24/04/2024;1;1;1;NO APLICA;2
SEC04099;2;2012-03-14;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;24/04/2024;1;1;1;NO APLICA;2
SEC04100;2;2017-10-20;7;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;VILLA EL SALVADOR;24/06/2025;1;1;1;NO APLICA;2
SEC04101;1;2017-07-19;8;3;VENEZUELA;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;9/01/2025;2;1;1;NO APLICA;2
SEC04102;2;2023-04-07;2;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;9/01/2025;2;1;1;NO APLICA;2
SEC04103;1;2010-03-31;15;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;HUARAL;3/08/2023;1;1;1;NO APLICA;2
SEC04104;2;2014-02-16;11;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;HUARAL;3/08/2023;1;1;1;NO APLICA;2
SEC04105;1;2012-06-04;13;4;PERÚ;2;EDUCADORES DE CALLE;PIURA;PIURA;CATACAOS;1/03/2024;1;1;1;NO APLICA;2
SEC04106;2;2011-10-28;13;4;PERÚ;2;EDUCADORES DE CALLE;PIURA;PIURA;CATACAOS;29/02/2024;1;1;1;NO APLICA;2
