ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
7******7FLK;2;2011-03-08;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-12-03;1;1;1;NO APLICA;2
7******6FSS;2;2015-11-26;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-12-05;1;1;1;NO APLICA;2
7******1FCY;1;2014-05-08;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-30;1;1;1;NO APLICA;2
6******6GZY;2;2010-10-06;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-08-07;1;1;1;NO APLICA;2
7******6GFE;1;2010-10-17;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
7******2GQM;2;2011-08-05;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-25;1;1;1;NO APLICA;2
7******3GQJ;2;2013-05-09;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-25;1;1;1;NO APLICA;2
6******5GPJ;1;2015-08-17;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-25;1;1;1;NO APLICA;2
7******3GAB;2;2015-10-07;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-12;1;1;1;NO APLICA;2
6******5HHR;1;2007-11-12;17;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-21;1;1;1;NO APLICA;2
7******2HSV;1;2014-10-25;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-09-21;1;1;1;NO APLICA;2
6******9HCE;1;2011-12-11;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
8******9HMR;1;2012-09-16;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-18;1;1;1;NO APLICA;2
6******4HMA;1;2009-12-10;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-04-25;3;1;1;NO APLICA;2
7******1HFG;2;2015-09-17;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
7******5HTJ;1;2010-12-08;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-02-10;1;1;1;NO APLICA;2
7******1HSA;2;2013-02-16;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-04-04;1;1;1;NO APLICA;2
8******9HTA;1;2012-10-17;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-02-10;1;1;1;NO APLICA;2
9******7HGA;1;2017-09-08;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-25;1;1;1;NO APLICA;2
9******8HGM;1;2019-09-08;5;2;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-10-24;1;1;1;NO APLICA;2
6******6HVM;2;2011-12-07;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-25;1;1;1;NO APLICA;2
7******5HVY;2;2009-07-08;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-25;1;1;1;NO APLICA;2
6******8HCC;2;2014-01-30;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-04-18;1;1;1;NO APLICA;2
6******5ILF;1;2011-07-23;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-22;1;1;1;NO APLICA;2
6******8JBA;1;2011-03-26;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-24;1;1;1;NO APLICA;2
6******7JBC;2;2009-09-15;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-20;1;1;1;NO APLICA;2
6******7JCY;1;2012-02-09;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-03-14;1;1;1;NO APLICA;2
6******4JPF;2;2011-11-18;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-20;1;1;1;NO APLICA;2
7******4JSA;1;2016-09-21;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-12;1;1;1;NO APLICA;2
9******6JPJ;1;2017-11-11;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-20;1;1;1;NO APLICA;2
6******7KPJ;1;2012-11-17;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2020-02-13;1;1;1;NO APLICA;1
8******5LPS;2;2014-02-03;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-08-20;1;1;1;NO APLICA;2
7******1LCN;2;2017-04-25;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2021-10-27;1;1;1;NO APLICA;2
6******4LHB;2;2011-01-24;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-11-30;1;1;1;NO APLICA;2
8******0LVJ;1;2013-02-12;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
8******1LVS;2;2013-02-12;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
7******6LCY;2;2013-12-01;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-16;1;2;1;NO APLICA;2
9******1LAT;1;2017-02-14;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-10-24;1;1;1;NO APLICA;2
6******2LAA;2;2008-03-27;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
6******6LCC;1;2008-04-08;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-02-25;1;1;1;NO APLICA;1
6******2LCA;2;2011-04-19;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-02-25;1;1;1;NO APLICA;2
7******1LPA;2;2016-03-30;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-10-25;1;1;1;NO APLICA;2
7******2LCI;2;2009-05-19;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-23;1;1;1;NO APLICA;2
8******8LCD;2;2014-12-03;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-23;1;1;1;NO APLICA;2
6******8LPJ;1;2008-12-22;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
6******1LZH;1;2011-11-02;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2021-04-20;1;1;1;NO APLICA;1
7******1LCL;1;2015-10-16;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-08-25;1;1;1;NO APLICA;2
7******4LBN;2;2015-10-21;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
7******4LZE;1;2015-02-09;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-20;1;2;1;NO APLICA;2
7******7MSE;1;2015-05-23;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-03-02;1;1;1;NO APLICA;2
6******2MAR;1;2012-02-22;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-06;1;1;1;NO APLICA;2
6******3MCF;1;2013-03-23;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-25;1;1;1;NO APLICA;2
7******4MCK;1;2010-02-02;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-29;1;1;1;NO APLICA;2
6******1MGW;1;2010-02-25;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-07;1;1;1;NO APLICA;2
7******5MGJ;1;2013-02-11;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-07;1;1;1;NO APLICA;2
6******8MPA;2;2015-06-13;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-26;1;1;1;NO APLICA;2
9******7MBK;2;2018-01-05;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-06-21;1;1;1;NO APLICA;2
6******1MAA;1;2011-03-25;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-12-13;1;1;1;NO APLICA;2
7******6NAA;2;2014-03-03;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-08-02;1;1;1;NO APLICA;2
7******2ODB;1;2016-09-01;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-10-24;1;1;1;NO APLICA;2
9******0OCR;2;2017-07-22;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-07-12;1;1;1;NO APLICA;2
8******R;1;2013-01-12;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-05-24;1;1;1;NO APLICA;2
7******8OPJ;1;2014-08-07;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-05-24;1;1;1;NO APLICA;2
7******OQE;2;2016-10-01;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-05-27;1;1;1;NO APLICA;2
6******3OQJ;1;2012-02-26;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-10-25;1;1;1;NO APLICA;2
6******5OAF;1;2007-08-08;17;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-10;1;1;1;NO APLICA;2
7******6OAL;2;2014-06-16;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-10;1;1;1;NO APLICA;2
9******7OPD;2;2017-10-13;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-10-09;1;1;1;NO APLICA;2
7******3OVG;1;2014-09-10;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-05;1;1;1;NO APLICA;2
6******6OSY;1;2009-05-03;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-08-25;1;1;1;NO APLICA;2
6******0OSK;2;2011-09-03;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-15;1;1;1;NO APLICA;2
6******7PCJ;1;2011-06-05;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-09;1;1;1;NO APLICA;2
7******8PCB;2;2016-01-20;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-09;1;1;1;NO APLICA;2
8******1PCD;2;2012-12-20;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-09;1;1;1;NO APLICA;2
6******7PGR;1;2008-02-22;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2021-09-29;1;2;1;NO APLICA;1
6******7PRJ;1;2011-03-27;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-12-06;1;1;1;NO APLICA;2
7******6PTF;2;2014-07-05;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-08-22;1;1;1;NO APLICA;2
